ReversiIDTNegaMaxPruningTTAI, ReversiMonteCarloTreeSearchTLAI
22, 42
40, 21
10, 14
28, 36
13, 51
25, 39
50, 11
37, 13
14, 18
26, 38
19, 21
31, 9
36, 17
32, 29
16, 16
38, 10
31, 33
18, 46
17, 45
60, 4
15, 49
43, 20
27, 37
26, 13
9, 23
15, 11
9, 11
33, 26
25, 7
23, 41
41, 20
27, 37
22, 14
26, 38
17, 15
17, 47
21, 15
29, 35
45, 18
29, 35
56, 7
24, 21
26, 38
12, 11
37, 26
28, 14
52, 11
20, 17
23, 17
17, 16
22, 40
14, 15
22, 20
25, 37
46, 18
37, 27
20, 44
27, 37
8, 4
20, 21
9, 13
17, 20
14, 20
49, 10
24, 40
21, 43
30, 25
37, 22
16, 48
30, 29
23, 41
22, 18
23, 41
17, 18
36, 13
38, 16
25, 13
34, 14
15, 9
22, 42
11, 53
17, 26
34, 30
19, 30
18, 28
22, 9
22, 28
22, 42
21, 43
27, 8
24, 40
24, 21
35, 28
44, 12
28, 10
30, 13
8, 18
52, 12
44, 1
56, 4
36, 8
29, 16
23, 41
38, 21
14, 14
22, 42
16, 20
13, 18
52, 7
39, 22
33, 10
12, 11
31, 16
46, 18
26, 18
22, 29
39, 12
31, 33
17, 17
55, 1
29, 35
37, 24
26, 38
27, 21
39, 0
29, 12
15, 49
21, 20
